#{"t_start": 1676295043.749491, "env_id": null}
r,l,t
-114,21,26.162609
-110,15,26.199781
-100,3,26.204913
-143,51,26.335501
97,9,26.355484
97,6,26.373798
92,14,26.405358
86,20,26.454743
-143,51,26.583425
69,38,26.675302
-144,51,26.802338
65,42,26.909855
87,20,26.958415
-143,51,27.080503
78,28,27.151716
-114,20,27.200461
-115,21,27.250531
-144,51,27.376434
89,17,27.415238
-145,51,27.544178
98,7,27.558798
-143,51,27.683612
-106,9,27.70712
-102,7,27.723076
98,7,27.742028
-103,9,27.765248
-144,51,27.890481
-144,51,28.016005
82,24,28.078127
-143,49,28.199934
93,13,28.230371
-105,9,28.254641
-144,51,28.379519
-144,51,28.509924
97,8,28.531148
-143,51,28.658594
-102,7,28.678799
-115,20,28.726847
85,21,28.778833
-144,51,28.903409
98,8,28.924543
-105,11,28.951609
-103,8,28.969951
-144,51,29.103368
-144,51,29.231385
97,8,29.249346
-144,51,29.379551
-143,51,29.504548
98,7,29.52088
-106,12,29.553566
97,8,29.571409
-102,6,29.585936
-145,51,29.714311
88,19,29.756723
-144,51,29.889701
99,5,29.902361
-143,51,30.028405
-108,14,30.064004
-143,51,30.189179
-144,51,30.313064
95,11,30.339018
71,35,30.425442
-144,51,30.551056
81,25,30.612175
-143,51,30.742724
-105,11,30.770502
84,22,30.823597
-145,51,30.947948
-105,10,30.972525
-145,51,31.103609
-143,51,31.23093
-126,32,31.310072
-23,31,31.388276
88,18,31.433813
-141,47,31.547927
97,7,31.567449
97,8,31.58566
-112,18,31.631523
-143,51,31.75482
75,32,31.838829
72,36,31.92768
82,24,31.988372
-119,25,32.051036
-109,14,32.082132
-144,51,32.212643
100,4,32.219624
92,14,32.25529
-126,33,32.34341
92,14,32.380042
93,12,32.40875
90,17,32.448947
95,11,32.479666
90,14,32.509995
-144,51,32.637992
84,22,32.6926
-144,51,32.819244
-128,35,32.906833
-141,48,33.025308
94,12,33.052514
-108,14,33.088403
-30,38,33.183047
-100,4,33.190003
-114,19,33.238625
-144,51,33.363889
-107,12,33.396521
-144,51,33.525789
-103,7,33.542432
-110,15,33.58083
89,18,33.630548
95,11,33.657501
85,20,33.710597
-106,10,33.736842
-123,29,33.810094
-145,51,33.934248
97,7,33.954145
97,8,33.971155
-111,17,34.014184
-144,51,34.134656
-106,10,34.159209
-111,17,34.200257
-137,43,34.310184
-106,12,34.338465
-143,51,34.463596
98,6,34.482296
91,16,34.522103
97,8,34.540313
-144,51,34.669711
84,23,34.724238
-110,16,34.762692
90,15,34.802539
-105,11,34.834955
-106,12,34.865608
95,9,34.889003
-144,51,35.016558
95,10,35.041469
-144,51,35.166157
-106,12,35.199325
-145,51,35.325258
-144,51,35.450741
95,10,35.476269
-106,12,35.505408
-122,28,35.57277
-139,46,35.686251
-107,12,35.718313
-106,11,35.744423
75,32,35.821459
-101,4,35.832138
97,8,35.853331
92,13,35.882891
76,30,35.95635
-104,9,35.978174
-125,31,36.053742
-144,51,36.179352
88,18,36.22582
-143,51,36.352535
93,13,36.38693
89,17,36.42811
-115,22,36.484018
-111,17,36.524276
98,7,36.540041
96,10,36.565929
61,46,36.680455
90,17,36.721711
91,16,36.760777
-126,33,36.844969
-104,10,36.870304
-101,7,36.886263
-110,15,36.922831
62,46,37.03592
-101,6,37.054356
-143,51,37.178446
91,14,37.213778
-140,46,37.333505
-144,51,37.456933
-119,25,37.51626
-105,9,37.538199
-111,17,37.579194
78,29,37.651426
95,10,37.676064
-143,51,37.804395
-102,7,37.825452
-118,24,37.883538
-144,51,38.010589
-144,51,38.136871
-109,14,38.172561
-100,4,38.17954
83,23,38.238765
-103,8,38.261182
-115,20,38.306536
-100,2,38.310246
-107,13,38.343614
-103,8,38.360609
-144,51,38.486535
-135,42,38.596907
-104,9,38.61889
-143,51,38.750569
58,48,38.866566
94,10,38.890705
93,12,38.922842
-122,29,38.997958
-144,51,39.12454
-101,4,39.13571
98,7,39.151825
-145,51,39.280351
-103,9,39.306189
-123,29,39.377749
70,37,39.466771
-104,8,39.487368
84,22,39.540243
68,39,39.637333
82,24,39.69835
-105,10,39.723825
82,24,39.785073
-145,51,39.913704
66,41,40.010361
98,6,40.024882
-143,51,40.152156
86,20,40.203351
-143,51,40.331905
81,25,40.39503
-102,8,40.412629
-102,6,40.426922
-103,8,40.448719
97,8,40.469854
74,32,40.547043
71,34,40.630065
-101,6,40.644179
100,3,40.65277
93,13,40.682885
79,28,40.755827
66,41,40.859368
-144,51,40.983624
-104,9,41.007217
-108,14,41.04383
-143,51,41.177287
-108,14,41.214936
-143,51,41.337571
86,20,41.386951
-121,29,41.458118
66,41,41.558992
-119,24,41.617906
-144,51,41.740295
-106,11,41.766814
85,21,41.816968
-144,51,41.946406
88,19,41.991132
-145,51,42.118641
95,11,42.144296
-143,51,42.269407
77,29,42.343398
98,6,42.357996
98,7,42.373876
-124,31,42.456705
72,35,42.542921
90,16,42.581679
92,14,42.618362
81,25,42.682244
-144,51,42.807743
96,10,42.831382
98,8,42.847875
-144,51,42.97383
-144,51,43.098114
98,8,43.116174
-108,15,43.153802
-109,15,43.19251
82,25,43.254955
-108,13,43.290259
93,12,43.319344
-115,22,43.377417
-144,51,43.506057
-109,15,43.544122
90,17,43.585445
-109,15,43.62418
-144,51,43.757389
97,7,43.774712
89,17,43.816004
-103,8,43.838052
-112,18,43.888812
-144,51,44.013153
-110,16,44.051123
-144,51,44.174584
-144,51,44.300752
-144,51,44.429947
90,16,44.470843
82,23,44.525897
97,7,44.544922
87,18,44.586873
91,15,44.623922
59,48,44.744336
-144,51,44.873479
-104,10,44.897799
-102,8,44.919482
-115,22,44.973332
-103,8,44.994405
-144,51,45.115034
-145,51,45.238293
84,22,45.295262
-121,27,45.361202
79,28,45.430654
98,7,45.446453
-110,16,45.486883
95,10,45.511631
92,14,45.547182
-106,12,45.575334
69,38,45.672826
91,15,45.710805
76,31,45.788265
71,37,45.882975
-101,5,45.895683
-101,6,45.910288
-108,14,45.94586
96,10,45.971125
-143,51,46.102249
-144,51,46.230741
-114,21,46.281509
61,46,46.391664
-101,5,46.403909
