#{"t_start": 1676295043.749491, "env_id": null}
r,l,t
-108,14,348.730866
-144,51,348.85916
99,7,348.87561
83,24,348.937042
-143,51,349.061307
90,16,349.100695
91,15,349.138066
-144,51,349.270606
-143,51,349.395049
-143,51,349.524727
100,4,349.536843
96,10,349.563521
-109,16,349.606312
99,5,349.62091
61,47,349.737984
-102,6,349.756801
99,5,349.769199
-100,3,349.77479
-144,51,349.899962
99,4,349.91142
-105,11,349.938993
-104,9,349.962403
-106,12,349.994375
96,10,350.019227
-144,51,350.145005
-108,15,350.182921
87,20,350.232798
99,6,350.247008
93,13,350.279408
100,3,350.28-143,51,350.344236
-104,9,350.369239
93,13,350.40013
93,14,350.437745
-106,12,350.471333
82,25,350.521455
100,4,350.528875
-104,9,350.553047
83,24,350.614976
91,14,350.649-143,-104,9,350.6726-10590,17,350.714135-143,51,350.829883
91,15,350.869213-143,51,350.896381
-144,51,351.027937
100,4,351.035272
98,8,351.057708
97,9,351.08143789-143,51,351.206739
-143,51,351.330734
100,3,351.340001
100,4,351.350703
95,10,351.376461
89,18,351.420247
-105,10,351.445964
91,16,351.486247
90,17,351.532733
100,4,351.543825
-115,22,351.598004
-101,5,351.611237
-102,8,351.63401
-148,51,351.764118
100,4,351.77502
-100,5,351.788162
98,6,351.802679
-106,12,351.832132
-107,13,351.867462
-101,6,351.881811
96,9,351.905167
64,43,352.009324
98,5,352.021981
100,3,352.031342
-108,13,352.063976
-101,6,352.07822
-106,12,352.106363
-143,51,352.228836
-101,5,352.242415
100,4,352.253335
96,9,352.277647
-100,2,352.281603
-124,31,352.361871
96,8,352.37944
100,4,352.390552
100,4,352.401489
89,15,352.439362
96,-146,51,352.504-145,69,39,352.6011892,68,39,352.693264
100,3,352.7026-12399,5,352.715356-96,9,352.739378
-116,23,352.795959--107,13,352.83030983,23,352.865615
93,13,352.89826888,19,352.913229
-117,24,352.976653
75,32,353.059737
-104,10,353.085554
60,47,353.200991
100,3,353.210454
99,4,353.217681
98,6,353.236349
9-144,51,353.2891890,70,37,353.38261-143,51,353.442784
100,5,353.455531-144,51,353.551279
98,6,353.566806
-111,18,353.614945
98,5,353.628231
92,14,353.666012
99,5,353.678444
-100,5,353.691933-143,51,353.758559
-102,8,353.780908
-144,51,353.864839
92,15,353.905359
91,16,353.946722
-109,13,353.982019
96,10,354.008832
-143,51,354.137671
84,23,354.199015
-104,9,354.219153
97,9,354.242573
85,22,354.302448
84,23,354.358702
-104,8,354.379288
99,6,354.393324
100,3,354.403105
-144,51,354.530271
-103,7,354.547717
-143,51,354.673183
98,8,354.695727
93,13,354.73176
-128,35,354.820428
92,15,354.85667
-145,51,354.984854
-108,13,355.015326
-144,51,355.143674
99,4,355.151431
-144,51,355.283066
-106,12,355.313275
-101,5,355.326151
96,9,355.349587
85,21,355.402662
100,4,355.41377
-144,51,355.536016
95,11,355.562418
-143,51,355.697286
93,12,355.730107
76,30,355.80774
99,5,355.820837
-100,6,355.836338
88,17,355.879633
-115,22,355.937945
100,4,355.948815
85,22,356.001808
-108,14,356.038181
100,4,356.049048
100,3,356.054406
84,23,356.114335
100,4,356.1258
100,3,356.131395
97,9,356.155076
-114,20,356.206162
85,22,356.259597
-114,20,356.308777
-114,20,356.35986
99,4,356.370685
93,14,356.407022
-106,13,356.441765
95,11,356.469072
68,39,356.573619
89,18,356.620033
-143,51,356.751733
97,7,356.770923
100,4,356.781725
95,9,356.801456
-144,51,356.93449
100,5,356.947141
-145,51,357.070581
-143,51,357.194843
95,11,357.22189
-121,27,357.29278
-146,51,357.418682
93,11,357.446372
100,3,357.455989
93,12,357.485147
78,28,357.558577
-102,7,357.575322
-117,23,357.634699
100,3,357.640191
-101,6,357.654793
93,13,357.68875
97,8,357.709522
93,12,357.73776
99,5,357.749989
-104,9,357.773367
84,22,357.826754
-144,51,357.953674
91,15,357.991824
92,14,358.027664
86,22,358.087407
-101,4,358.094843
99,6,358.112948
100,3,358.118571
-143,51,358.245328
99,5,358.258391
99,6,358.276543
64,43,358.38236
100,3,358.392512
-143,51,358.525455
100,4,358.536605
96,8,358.554151
88,19,358.600104
-144,51,358.724831
-102,5,358.738134
98,6,358.757139
96,9,358.77593
-114,20,358.826235
99,4,358.83685
-129,36,358.925214
99,6,358.94333
57,48,359.062582
100,3,359.072844
99,6,359.089442
87,20,359.141415
-146,51,359.269696
-145,51,359.392727
93,12,359.425501
-110,17,359.466407
-144,51,359.588657
92,13,359.621906
99,6,359.63629
-143,51,359.760862
100,4,359.771983
-147,51,359.895912
100,4,359.906969
96,11,359.933444
100,3,359.942978
-144,51,360.070731
89,18,360.11757
92,12,360.146497
84,21,360.197765
99,6,360.215882
98,6,360.230414
73,33,360.309378
100,3,360.31846
-147,51,360.443593
-107,13,360.476874
97,8,360.494815
67,40,360.595568
82,25,360.658918
-144,51,360.785549
92,15,360.822596
-143,51,360.948718
99,5,360.961465
-102,5,360.97436
95,11,361.000597
-19,27,361.065351
83,24,361.125881
72,35,361.21526
-143,51,361.341059
98,8,361.363711
90,17,361.405207
98,7,361.425655
99,4,361.436657
100,4,361.44367
-8,16,361.487039
-111,18,361.532551
-105,12,361.564925
-21,29,361.632823
-147,51,361.763099
-145,51,361.89038
99,4,361.901684
96,8,361.920079
-106,13,361.954538
-143,51,362.078136
99,4,362.089172
98,7,362.105819
-104,10,362.13181
98,6,362.145768
-111,17,362.190024
100,3,362.195057
71,35,362.283894
89,17,362.330087
98,6,362.344686
100,4,362.35563
91,15,362.393593
99,6,362.40822
100,3,362.417464
-112,18,362.459491
99,5,362.472246
-101,7,362.492134
-144,51,362.620162
-144,51,362.746459
-102,6,362.761888
-111,17,362.807152
100,3,362.81233
96,9,362.834968
96,10,362.86038
-143,51,362.988513
94,12,363.024217
74,33,363.107016
66,40,363.209396
96,10,363.235293
99,4,363.246314
95,11,363.2742
-143,51,363.402289
-101,5,363.415077
-143,51,363.54233
100,3,363.547767
100,4,363.558605
-145,51,363.686505
100,3,363.695863
97,8,363.713527
-104,10,363.738402
78,29,363.811635
100,5,363.825112
76,32,363.907118
79,29,363.978826
91,16,364.023329
-28,36,364.112376
98,6,364.12644
99,4,364.137232
90,17,364.176776
-104,11,364.203073
-145,51,364.336358
98,7,364.35272
-100,2,364.356459
100,4,364.367141
-27,35,364.455541
94,11,364.482282
100,4,364.493097
-101,4,364.50409
98,6,364.518257
99,5,364.530802
100,3,364.540429
97,8,364.558841
99,6,364.577378
-143,51,364.704832
88,18,364.748287
100,4,364.759418
-143,51,364.888296
-144,51,365.021147
99,5,365.033426
94,11,365.059352
93,12,365.089144
-101,6,365.103727
-103,8,365.126543
96,8,365.147903
71,34,365.228443
79,28,365.299287
97,9,365.32374
97,7,365.339975
98,6,365.354208
-144,51,365.483538
82,25,365.546797
-104,7,365.566153
97,8,365.590982
100,3,365.597062
-145,51,365.727124
99,7,365.748905
75,33,365.829016
88,19,365.877857
-109,16,365.91848
-143,51,366.044763
96,9,366.065191
99,6,366.083877
-13,21,366.136102
93,14,366.171897
92,14,366.203677
93,13,366.238289
-128,34,366.32493
100,4,366.335917
99,6,366.350098
100,3,366.355745
95,10,366.3804
-106,12,366.412515
-114,21,366.464984
-143,51,366.593702
98,6,366.608106
-105,11,366.638934
98,6,366.653154
-101,6,366.668013
100,3,366.676926
-102,6,366.691685
99,5,366.703971
89,17,366.746024
95,12,366.779508
91,14,366.811877
-102,8,366.833602
99,5,366.846561
99,4,366.857722
-105,11,366.885818
-110,16,366.92585
94,12,366.9564
-101,4,366.963554
-143,51,367.09441
100,3,367.099964
88,19,367.149175
100,3,367.158392
-101,7,367.175149
100,3,367.184244
99,4,367.191855
99,5,367.204431
95,11,367.235061
-100,4,367.242216
100,5,367.254913
87,19,367.302129
98,7,367.322034
94,12,367.351048
-147,51,367.477937
99,6,367.492655
-105,11,367.524675
97,7,367.541069
-115,22,367.594316
98,8,367.616017
99,6,367.630424
99,5,367.643184
-105,10,367.668946
99,5,367.681271
-103,8,367.70276
67,39,367.800795
-143,51,367.928326
96,9,367.952488
100,3,367.957711
-108,14,367.995325
99,5,368.008164
94,12,368.03638
-112,15,368.074018
-144,51,368.205083
-144,51,368.336524
-124,31,368.418081
97,8,368.439696
100,4,368.446608
91,14,368.483238
99,5,368.495895
-145,51,368.621823
99,7,368.642396
74,33,368.723115
-112,19,368.772474
98,8,368.794446
100,3,368.799922
77,30,368.874868
-100,4,368.885848
-104,11,368.913151
-146,51,369.046214
-144,51,369.175876
90,13,369.207278
94,12,369.240147
96,11,369.267095
-144,51,369.394982
-103,8,369.417895
-103,9,369.44092
-102,8,369.458131
97,9,369.481054
87,19,369.529192
96,9,369.553839
94,11,369.581708
-105,11,369.608776
88,19,369.656662
-143,51,369.783513
-143,51,369.91105
95,11,369.937482
100,5,369.950419
92,14,369.987328
99,5,369.999218
-103,8,370.021096
100,4,370.031817
99,5,370.047067
-116,23,370.107905
-144,51,370.24166
100,4,370.252894
91,15,370.290888
93,14,370.328015
-100,4,370.339472
-104,10,370.364827
-103,10,370.391463
-106,12,370.420545
-122,29,370.494374
100,4,370.50513
98,7,370.522342
-112,17,370.569282
98,7,370.58682
96,8,370.609226
99,5,370.622244
-104,8,370.641206
-144,51,370.769442
-106,12,370.802601
-113,20,370.853751
93,11,370.881694
-104,9,370.905067
-143,51,371.031201
65,42,371.134219
91,16,371.178171
100,3,371.183621
89,17,371.229713
-106,12,371.257431
75,33,371.341536
100,4,371.348769
93,13,371.382393
-113,20,371.433748
-104,11,371.461434
100,4,371.472307
-113,20,371.521759
89,16,371.559551
94,12,371.591827
95,10,371.617683
-103,10,371.643873
-103,7,371.660542
100,3,371.669859
-147,51,371.795413
-143,51,371.922703
82,25,371.986108
75,32,372.064813
-147,51,372.192031
100,3,372.19713
99,6,372.210682
100,5,372.222883
100,4,372.233909
-147,51,372.354471
99,4,372.365773
98,8,372.387505
-105,11,372.415143
99,6,372.428956
87,20,372.476355
-101,4,372.486629
100,3,372.495325
-120,25,372.556839
-28,36,372.64738
-143,51,372.775148
95,12,372.803933
-144,51,372.93422
-144,51,373.06173
-146,51,373.185833
-147,51,373.31445
99,4,373.325406
-143,51,373.451161
97,10,373.476312
94,11,373.503471
97,8,373.526
-104,9,373.549813
-105,11,373.577452
73,33,373.660815
100,3,373.666378
96,11,373.693757
92,13,373.728286
91,15,373.767476
-143,51,373.893082
-145,51,374.022258
99,5,374.035136
98,6,374.053555
99,5,374.066051
-144,51,374.191343
-113,18,374.234873
-143,51,374.366457
-146,51,374.494505
96,9,374.518092
-113,20,374.568907
-110,16,374.606803
98,7,374.622771
-118,25,374.686511
-144,51,374.812437
-143,51,374.942851
87,20,374.994375
-100,2,374.99842
-143,51,375.125524
-115,22,375.184926
94,12,375.215409
99,6,375.230509
98,7,375.250485
-102,8,375.269154
95,9,375.293356
-144,51,375.41832
68,38,375.514747
100,3,375.51996
99,4,375.530341
95,11,375.556191
97,8,375.578868
-119,25,375.641697
-110,16,375.680627
-141,49,375.805016
-149,51,375.930597
93,14,375.967212
-144,51,376.093333
65,43,376.203778
99,4,376.214961
-143,51,376.347381
-109,15,376.385265
91,14,376.421926
-144,51,376.554248
97,8,376.572377
100,3,376.583251
99,7,376.600876
98,7,376.626141
86,18,376.674596
92,14,376.711838
98,6,376.726439
98,5,376.741099
-145,51,376.874206
-118,25,376.937146
-104,10,376.961977
74,31,377.042301
100,3,377.047568
-109,15,377.082422
-105,11,377.113353
98,5,377.126017
97,9,377.146304
-143,51,377.279281
-104,9,377.299245
-144,51,377.427179
74,33,377.507728
96,7,377.526881
-100,4,377.534348
100,3,377.54345
97,6,377.557725
98,8,377.579085
94,11,377.605309
96,10,377.630159
-102,5,377.642758
99,5,377.656103
98,6,377.670566
80,27,377.742912
96,8,377.761172
99,5,377.773694
-116,23,377.836269
83,24,377.897605
-100,6,377.912323
-144,51,378.041302
-107,13,378.076828
98,6,378.091863
-114,21,378.14545
-143,51,378.274334
98,5,378.286904
-144,51,378.408867
-100,3,378.418548
87,18,378.464822
-144,51,378.590662
-143,51,378.720013
92,14,378.756568
-104,10,378.783275
59,48,378.901594
100,4,378.912541
100,4,378.923146
100,4,378.933767
-106,12,378.962012
100,4,378.973008
94,13,379.007628
100,4,379.015143
-102,7,379.035788
-104,10,379.061415
-144,51,379.189005
-102,8,379.211084
95,9,379.229785
61,47,379.350272
81,22,379.402643
99,7,379.423059
100,4,379.430326
99,5,379.444252
84,23,379.503739
100,4,379.515441
96,10,379.540752
98,6,379.555165
-126,33,379.640064
-100,3,379.645433
-115,22,379.704006
96,9,379.72341
-143,51,379.856565
100,5,379.869551
-145,51,379.999644
-115,22,380.053456
-144,51,380.180014
93,13,380.214416
98,7,380.230705
80,27,380.302172
100,5,380.315221
97,8,380.333829
100,5,380.346569
-143,51,380.473422
100,3,380.478945
98,6,380.493436
98,7,380.513747
81,25,380.577222
97,7,380.593282
96,8,380.613963
97,7,380.629606
100,3,380.638628
-146,51,380.767466
99,6,380.783061
96,8,380.805229
99,6,380.819726
84,22,380.873672
-107,14,380.910808
-143,51,381.040545
99,4,381.051537
-145,51,381.181868
100,4,381.192814
-124,31,381.267657
84,23,381.326956
-110,16,381.366538
92,13,381.4019
100,3,381.40742
-119,25,381.471329
-105,11,381.502322
-102,6,381.517247
-119,26,381.580713
-128,35,381.666635
100,3,381.67561
100,3,381.680653
91,16,381.720233
93,11,381.750255
89,18,381.794131
97,9,381.818046
-107,13,381.851732
92,15,381.889864
-104,10,381.914997
97,7,381.931254
-105,9,381.95459
-143,51,382.084975
-144,51,382.21223
99,4,382.223346
-108,15,382.260987
97,8,382.283126
95,9,382.303006
100,4,382.31395
100,3,382.322919
96,9,382.346782
74,32,382.424503
80,27,382.491162
-143,51,382.624153
96,9,382.643972
100,3,382.653108
94,9,382.676472
98,5,382.6891
-144,51,382.817868
-133,40,382.918046
-113,19,382.964473
76,31,383.042781
95,10,383.068051
100,4,383.0793
99,5,383.092366
-137,44,383.204305
-101,5,383.21665
98,6,383.230623
99,6,383.244788
99,4,383.256003
-104,9,383.282826
86,19,383.332068
99,4,383.343721
96,9,383.367962
95,9,383.39122
98,7,383.406835
-101,6,383.421351
94,9,383.443665
-143,51,383.570119
-147,51,383.699462
-102,8,383.718401
-104,10,383.744176
-143,51,383.877059
84,23,383.938983
-129,32,384.018929
96,10,384.044502
100,3,384.053492
-104,10,384.078875
-104,8,384.100769
95,11,384.128478
73,34,384.212128
-143,51,384.340128
-144,51,384.463995
89,17,384.504964
-100,5,384.517605
99,5,384.529983
99,4,384.540205
-100,3,384.549186
-144,51,384.67544
95,8,384.697342
96,8,384.715266
-144,51,384.844909
100,3,384.854675
-116,22,384.908658
-120,26,384.975511
100,4,384.982049
100,3,384.991271
-105,10,385.016394
98,6,385.030336
99,5,385.042876
100,3,385.052216
99,4,385.06321
98,8,385.082527
99,5,385.095523
99,5,385.108217
100,4,385.119095
-143,51,385.24797
100,5,385.260955
-144,51,385.387516
-101,7,385.408204
-101,3,385.413541
94,12,385.445834
98,5,385.457796
-101,6,385.472228
88,18,385.518457
-104,10,385.545553
81,26,385.608961
-108,15,385.647803
-122,28,385.716014
97,9,385.739939
-101,6,385.754904
100,4,385.765527
100,3,385.774387
100,4,385.785151
-143,51,385.916421
-103,9,385.939579
-113,20,385.990442
91,16,386.029976
-143,51,386.15418
98,7,386.169921
-102,9,386.193022
99,6,386.207541
-144,51,386.337816
99,4,386.345476
-147,51,386.479425
-144,51,386.610824
98,8,386.6294
-101,4,386.640631
100,4,386.651409
-144,51,386.780023
-105,11,386.806915
-145,51,386.936935
89,17,386.977788
100,4,386.98903
-105,9,387.013283
100,4,387.020982
-143,51,387.150893
-144,51,387.278236
-109,15,387.316605
91,16,387.35485
100,3,387.363662
98,6,387.378133
93,13,387.408681
-144,51,387.537323
-143,51,387.661794
96,7,387.678118
-145,51,387.802185
-144,51,387.936205
77,29,388.006854
-128,35,388.096346
-144,51,388.227879
-145,51,388.362206
100,3,388.367798
-147,51,388.494444
87,17,388.534978
94,10,388.560731
86,20,388.611068
-104,9,388.633015
100,3,388.638034
99,4,388.648482
-144,51,388.779704
88,19,388.826399
92,13,388.859799
86,20,388.910275
-147,51,389.034798
-100,5,389.04829
99,5,389.061477
100,4,389.074641
-143,51,389.201693
99,5,389.214683
100,4,389.22578
-107,12,389.255153
82,25,389.322981
-144,51,389.451579
-101,6,389.469607
83,24,389.526949
92,13,389.561454
98,6,389.576074
-143,51,389.70371
99,4,389.715471
100,4,389.726786
-143,51,389.853451
-105,11,389.881386
-104,8,389.902982
100,3,389.911847
99,6,389.926343
96,8,389.943542
99,4,389.954651
-144,51,390.078177
99,5,390.090978
95,12,390.124444
-144,51,390.253863
-144,51,390.377744
-144,51,390.504371
99,4,390.515175
99,5,390.527837
-103,7,390.548846
-103,8,390.567936
97,9,390.591505
100,4,390.602378
100,5,390.61508
-117,24,390.67649
-103,8,390.69437
-108,14,390.730192
98,5,390.74282
-144,51,390.875704
100,4,390.887686
100,4,390.898437
-143,51,391.023908
100,3,391.033233
82,25,391.096259
92,13,391.127292
98,8,391.149065
-144,51,391.274091
-104,11,391.301885
99,6,391.316473
89,17,391.361699
-100,7,391.378697
97,8,391.400169
62,45,391.514964
-115,21,391.567592
94,12,391.597087
100,6,391.615525
-144,51,391.743405
92,15,391.781403
-146,51,391.907117
83,24,391.96776
100,4,391.978742
-119,24,392.035014
100,4,392.045536
100,5,392.058052
-110,16,392.09713
98,6,392.115066
65,42,392.21985
90,17,392.262396
-144,51,392.394344
-103,7,392.411454
-101,4,392.422307
89,18,392.464059
-101,6,392.482162
92,14,392.512559
99,5,392.525193
96,11,392.556737
95,9,392.576927
-112,18,392.624486
95,10,392.649578
-143,51,392.780563
-143,51,392.909934
-148,51,393.042559
-104,9,393.06289
98,6,393.081441
-100,4,393.088782
-143,51,393.220369
94,13,393.250903
-145,51,393.381049
-143,51,393.513226
-147,51,393.639731
-143,51,393.765307
100,3,393.774785
96,9,393.794322
77,29,393.867529
100,5,393.880357
-121,28,393.953378
93,10,393.97863
-144,51,394.108112
93,14,394.14465
99,5,394.157221
100,4,394.167872
-101,7,394.184585
99,6,394.198549
-144,51,394.327299
-100,5,394.340621
93,11,394.371208
98,8,394.389883
100,4,394.401206
98,6,394.416197
-100,5,394.429444
85,21,394.478719
89,18,394.524977
93,12,394.554366
96,9,394.579156
-103,8,394.600693
-145,51,394.730017
-100,5,394.744602
-145,51,394.873389
76,31,394.947732
-142,49,395.073547
99,5,395.08634
-100,4,395.097993
94,13,395.133178
98,6,395.147703
99,4,395.158109
100,5,395.17097
-33,41,395.273308
96,10,395.298223
93,14,395.333564
-106,13,395.363807
99,4,395.374536
98,6,395.389585
100,3,395.399053
97,8,395.417782
-100,5,395.431413
100,4,395.442483
-102,8,395.464974
93,14,395.500798
100,6,395.514974
100,5,395.527326
-144,51,395.661449
-144,51,395.791582
95,11,395.818486
-108,12,395.851621
-103,10,395.876785
100,6,395.891192
-121,27,395.963092
94,13,395.998162
88,17,396.040486
96,11,396.071472
89,17,396.112397
-143,51,396.239921
98,7,396.259864
98,5,396.272251
100,4,396.279289
97,9,396.303147
99,8,396.324512
-143,51,396.448464
97,9,396.472872
98,7,396.489175
98,7,396.50948
-144,51,396.63275
-144,51,396.761843
-143,51,396.884801
99,5,396.897839
-102,7,396.918944
-143,51,397.043851
-145,51,397.169562
100,3,397.178974
-143,51,397.308235
79,27,397.374344
-106,13,397.409729
-106,13,397.441356
89,18,397.488873
96,8,397.510878
92,14,397.543591
95,9,397.567024
96,11,397.595353
96,10,397.621254
96,10,397.647034
99,5,397.659856
96,9,397.683187
96,8,397.704562
100,4,397.71553
-113,20,397.767696
98,7,397.78332
-107,13,397.818379
98,8,397.836522
96,7,397.856996
-107,14,397.889755
97,8,397.912096
100,4,397.923116
94,12,397.953127
-134,41,398.055034
100,4,398.065732
-110,16,398.105957
100,4,398.11712
97,6,398.131816
97,8,398.154513
91,15,398.192343
-145,51,398.325314
-109,16,398.366134
84,23,398.424877
94,12,398.453379
-144,51,398.585198
-113,20,398.634401
-110,16,398.673489
99,4,398.684257
-107,12,398.713342
92,15,398.751772
87,19,398.800004
96,9,398.823373
78,28,398.891908
-105,11,398.918871
-108,12,398.948944
-108,15,398.986447
-143,51,399.121753
-105,10,399.147683
-144,51,399.277602
92,12,399.31092
-100,6,399.325647
100,5,399.338254
-144,51,399.465212
100,4,399.476416
93,10,399.501385
-143,51,399.629773
83,20,399.679282
96,9,399.702449
67,40,399.80548
-105,12,399.835409
100,4,399.84632
88,18,399.893078
95,10,399.919807
93,12,399.94924
97,9,399.973035
88,16,400.010603
100,5,400.023284
89,18,400.070668
-144,51,400.198246
94,10,400.224027
-101,3,400.229743
95,12,400.26311
57,50,400.389151
-105,10,400.414722
97,8,400.432572
-101,4,400.443909
-143,51,400.572555
95,12,400.606151
99,5,400.620332
65,42,400.7265
-103,9,400.752523
96,8,400.774793
-144,51,400.902722
100,3,400.908525
95,8,400.930475
100,4,400.941797
-110,16,400.982854
99,5,400.995807
73,34,401.084706
100,4,401.095694
98,6,401.110754
99,6,401.125843
96,10,401.152926
-117,23,401.212124
-100,2,401.215791
-106,13,401.249898
-102,7,401.266311
100,4,401.277154
91,17,401.31837
95,12,401.35074
-101,5,401.363534
-104,7,401.379708
-145,51,401.508738
-144,51,401.635176
-110,16,401.680199
-143,51,401.804474
99,5,401.818158
100,4,401.829223
-143,51,401.955193
100,4,401.966016
97,10,401.992625
73,34,402.076644
-143,51,402.208568
95,11,402.235002
100,3,402.240268
80,27,402.310776
96,9,402.334858
-100,4,402.342212
99,5,402.354674
-144,51,402.486284
93,14,402.517373
100,4,402.528197
100,3,402.537494
91,15,402.574981
93,13,402.606168
-122,27,402.678838
69,37,402.770792
72,35,402.859773
95,9,402.882522
-102,8,402.904684
100,3,402.909957
97,8,402.932212
94,12,402.961281
100,3,402.970471
100,4,402.981428
100,4,402.988525
95,9,403.011882
-100,4,403.023422
-120,27,403.091128
95,12,403.12355
-106,9,403.147501
-101,7,403.164496
-107,13,403.197669
-147,51,403.329062
-145,51,403.455075
-102,8,403.47716
98,7,403.493205
99,5,403.505799
-147,51,403.631662
-144,51,403.762678
94,12,403.795791
90,14,403.832587
95,12,403.861064
100,3,403.870119
-144,51,403.996076
-102,6,404.010383
-104,9,404.03436
95,12,404.063731
-102,5,404.076619
-119,25,404.14043
94,9,404.164691
82,23,404.225689
-103,8,404.243426
-106,12,404.275297
-112,18,404.318375
85,21,404.371132
89,18,404.418922
100,4,404.429757
99,4,404.440866
93,14,404.47281
-106,12,404.505606
-100,3,404.51082
-112,16,404.553879
94,11,404.581571
100,5,404.594637
95,11,404.621224
79,24,404.683224
-145,51,404.810702
90,16,404.851473
97,7,404.872221
-101,6,404.886796
-143,51,405.013393
-122,28,405.087451
-143,51,405.213069
100,4,405.224075
92,14,405.256102
-100,3,405.265293
-100,3,405.274693
85,20,405.326386
85,22,405.380152
-144,51,405.508324
-118,25,405.571195
100,4,405.581871
98,6,405.596097
65,41,405.697305
98,7,405.717275
97,9,405.740723
88,19,405.784835
100,4,405.79553
-101,7,405.815709
71,36,405.905079
99,5,405.917563
-100,4,405.928455
-143,51,406.057697
98,5,406.070896
-143,51,406.200969
100,4,406.212029
96,9,406.240166
-114,21,406.295448
95,9,406.317763
99,5,406.330381
-109,16,406.368107
94,12,406.396995
-114,20,406.446206
-110,15,406.485154
100,3,406.494162
-120,26,406.560695
-144,51,406.695424
-143,51,406.824099
77,30,406.900629
-145,51,407.033127
-143,51,407.161994
-100,4,407.173519
-143,51,407.302166
-132,36,407.391749
96,10,407.417232
-144,51,407.541966
-100,6,407.556812
100,4,407.568036
83,24,407.630379
-111,16,407.669911
-100,5,407.682463
-100,3,407.691705
97,9,407.715229
94,12,407.743915
-144,51,407.86981
-143,51,407.998552
-116,22,408.058099
-144,51,408.184693
-144,51,408.316981
94,10,408.34468
96,9,408.368833
97,8,408.390741
83,23,408.446884
-144,51,408.571525
100,4,408.582816
100,3,408.592163
100,3,408.597962
93,12,408.631278
98,7,408.648768
94,12,408.681944
-113,20,408.732733
99,7,408.749373
-100,4,408.761001
96,11,408.789863
99,6,408.805131
100,4,408.816407
-102,7,408.832262
95,9,408.855098
-133,38,408.952184
86,19,409.00037
69,38,409.093816
99,5,409.108156
-143,51,409.234357
99,5,409.247541
-143,51,409.377462
100,4,409.384642
71,36,409.477572
100,4,409.485114
-109,15,409.523787
98,6,409.542458
-143,51,409.670332
98,6,409.684969
70,36,409.773379
-108,15,409.812535
-101,6,409.827315
97,9,409.850498
-100,4,409.861881
97,7,409.877477
100,4,409.888493
-109,15,409.92875
100,4,409.939699
-100,2,409.943748
93,12,409.976865
-100,5,409.990385
-100,3,409.995971
81,26,410.065162
88,19,410.109828
98,6,410.128181
-106,12,410.157698
97,9,410.18246
99,4,410.194784
-143,51,410.323318
98,6,410.339014
93,11,410.366607
99,4,410.377087
94,11,410.404044
93,12,410.434638
97,8,410.452068
-144,51,410.578264
96,9,410.602666
95,11,410.63118
78,29,410.706137
-101,6,410.721536
100,3,410.730853
-109,16,410.772292
98,6,410.786716
97,9,410.810909
75,31,410.887972
97,8,410.910094
99,6,410.924753
98,9,410.948314
-122,29,411.024412
96,9,411.048166
98,7,411.064465
-123,31,411.142012
94,12,411.17383
100,3,411.179295
99,5,411.192471
99,4,411.203407
100,3,411.212496
98,6,411.226622
95,9,411.250633
99,5,411.263661
100,4,411.270912
100,4,411.282126
-101,4,411.293041
-103,10,411.319626
100,4,411.330794
-104,10,411.356852
99,6,411.371413
-108,12,411.400492
100,3,411.409692
100,3,411.419042
89,18,411.460992
-102,7,411.480188
97,9,411.498679
-143,51,411.630033
88,16,411.669617
98,8,411.687269
98,6,411.705227
95,9,411.724256
98,6,411.742971
-105,10,411.769433
-100,6,411.784047
-109,15,411.821657
91,15,411.857944
80,27,411.924896
92,12,411.957483
-108,15,411.995584
99,5,412.008519
90,17,412.050053
100,5,412.062881
-143,51,412.187807
100,4,412.198882
88,19,412.247342
93,13,412.278355
-144,51,412.410518
94,11,412.437589
-144,51,412.567652
92,15,412.605453
100,7,412.621217
-106,12,412.653852
-107,12,412.681845
77,30,412.759119
99,7,412.778822
-145,51,412.906723
-106,13,412.937461
100,4,412.94821
96,8,412.969888
100,4,412.981176
94,13,413.012017
99,4,413.023089
-144,51,413.151945
61,46,413.264797
93,13,413.302833
100,3,413.312131
100,5,413.326596
96,7,413.344649
99,4,413.356529
100,4,413.36794
-143,51,413.496328
-104,9,413.519926
100,4,413.526822
99,7,413.547569
-100,4,413.559071
94,11,413.586336
98,6,413.601071
100,6,413.615964
-103,10,413.643797
99,5,413.657195
95,11,413.684056
97,7,413.703906
100,3,413.709175
97,9,413.732517
85,23,413.79102
100,4,413.802123
99,6,413.816874
99,5,413.829492
77,30,413.905361
-100,4,413.916473
99,6,413.930725
-101,5,413.943938
-108,15,413.980661
-100,3,413.985955
-106,12,414.01854
69,38,414.112199
100,4,414.123386
98,6,414.138024
98,6,414.156627
98,6,414.171581
100,4,414.183639
-108,13,414.214812
80,28,414.28609
88,18,414.327234
-144,51,414.456731
95,9,414.477198
-101,6,414.49563
94,12,414.523546
-143,51,414.652301
81,26,414.718089
99,5,414.731365
-117,21,414.78547
-102,6,414.799714
98,8,414.817196
-143,51,414.947186
-145,51,415.07428
91,16,415.112668
99,4,415.123509
99,5,415.135902
96,8,415.153451
94,10,415.178537
-112,19,415.227796
100,4,415.238476
100,3,415.247586
100,4,415.254432
90,16,415.297957
93,11,415.325382
84,22,415.37939
-100,4,415.390635
99,5,415.403282
-107,12,415.431552
-143,51,415.562283
-148,51,415.686317
96,8,415.704035
95,10,415.729482
85,21,415.787195
-105,9,415.807233
-103,8,415.830084
